Faculty Member,Division/Institute,Current Position,SGS Status,Accepting Students
"Abdool, Rosalind",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Abejirinde, Ibukun",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Abelsohn, Alan",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Abolhassani, Farbod",Epidemiology Division,Adjunct Professor,Associate Member,No
"Abramovich, Alex",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Abuelaish, Izzeldin","Clinical Public Health Division, Centre for Global Health",Professor,Associate Member,N/A
"Afanasyeva, Marina",Occupational & Environmental Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Aggarwal, Monica",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Agic, Branka",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Ahmad, Farah",Social & Behavioural Health Sciences Division,Associate Professor,Associate Member,N/A
"Aimone, Ashley Mariko",Epidemiology Division,Assistant Professor,Associate (Restricted) Member,N/A
"Airia, Parisa",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Akbari, Mohammad Reza",Epidemiology Division,Associate Professor,Full Member,N/A
"Al-​Imari, Lina",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Alexandra, Wright",Social & Behavioural Health Sciences Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Ali, Farihah",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Alleyne, Julia Mary",Clinical Public Health Division,Associate Professor,Associate Member,N/A
"Amberbir, Alemayehu",Clinical Public Health Division,Adjunct Lecturer,Associate (Restricted) Member,N/A
"Anam Khan, Mohammad Kaviul",Mohammad Kaviul Anam Khan,N/A,N/A,N/A
"Anderson, James",Clinical Public Health Division,Assistant Professor,Associate Member,N/A
"Anderson, John",Social & Behavioural Health Sciences Division,Assistant Professor,Associate Member,N/A
"Andrews, David",Biostatistics Division,Professor Emeritus,Member Emeritus,N/A
"Armstrong, Irene",Clinical Public Health Division,Adjunct Professor,N/A,N/A
