pmid,current_affiliation
11933791,TRUE
12113438,FALSE
12425781,FALSE
12765705,TRUE
12841049,TRUE
14499168,TRUE
14572930,FALSE
14726004,TRUE
15113647,TRUE
15160816,TRUE
15526385,TRUE
15690832,FALSE
16029772,FALSE
16098150,TRUE
16480808,FALSE
16621120,FALSE
16996637,TRUE
17368680,TRUE
17712084,FALSE
18634639,TRUE
19019239,TRUE
19117635,TRUE
19261347,FALSE
19308107,FALSE
19377347,TRUE
19882450,TRUE
20207061,FALSE
20863588,TRUE
21029284,FALSE
21262071,FALSE
21478685,TRUE
21478695,TRUE
21478696,TRUE
21664018,FALSE
22733324,FALSE
22733325,FALSE
22733328,TRUE
22938912,TRUE
23340511,FALSE
23378639,FALSE
23863188,TRUE
23968604,FALSE
24028700,TRUE
24711215,FALSE
26043073,TRUE
26113295,TRUE
26318211,TRUE
26802073,TRUE
27233927,TRUE
27670693,TRUE
27894606,TRUE
28032823,TRUE
28979105,TRUE
29411660,TRUE
29662520,TRUE
29678617,TRUE
30062858,TRUE
30297301,TRUE
30522999,TRUE
30537366,TRUE
30566406,TRUE
30732616,TRUE
31017864,FALSE
31074573,TRUE
31180489,TRUE
31250778,TRUE
31251446,TRUE
31373754,TRUE
31523997,TRUE
31836630,TRUE
31874742,TRUE
32176615,TRUE
32228588,TRUE
32349738,TRUE
32405121,TRUE
32563219,TRUE
32744413,TRUE
32801223,TRUE
32894131,TRUE
33450842,TRUE
33461979,TRUE
33557969,TRUE
33590740,TRUE
33632329,TRUE
33774981,TRUE
34352202,TRUE
34399694,TRUE
34545395,TRUE
35023267,TRUE
35636759,TRUE
35656641,TRUE
35667778,TRUE
36007545,TRUE
36161340,TRUE
36639959,TRUE
36691178,TRUE
36698200,TRUE
36942646,TRUE
37150048,TRUE
37649098,TRUE
38062536,TRUE
38350210,TRUE
38401332,TRUE
38587601,TRUE
38863030,TRUE
39102702,TRUE
39102738,TRUE
39188109,TRUE
39404663,TRUE
39417267,TRUE
39417268,TRUE
39417270,TRUE
39417274,TRUE
39492464,TRUE
39678389,TRUE
40686554,TRUE
