openalex_id,current_affiliation
W159666224,FALSE
W1971800051,FALSE
W1977620098,FALSE
W1989291813,FALSE
W1989875093,FALSE
W2003360512,FALSE
W2004584670,FALSE
W2007362881,FALSE
W2008590688,FALSE
W2017827217,FALSE
W2018622366,FALSE
W2025338550,FALSE
W2027304314,FALSE
W2034105674,FALSE
W2036302081,FALSE
W2036650093,FALSE
W2037620911,FALSE
W2042170494,FALSE
W2055542552,FALSE
W2061207350,FALSE
W2062072303,FALSE
W2062782072,FALSE
W2062987184,FALSE
W2065727288,FALSE
W2069920125,FALSE
W2070569053,FALSE
W2075490961,FALSE
W2087448604,FALSE
W2092526829,FALSE
W2095409271,FALSE
W2100025403,FALSE
W2115718867,TRUE
W2121376498,FALSE
W2145061705,FALSE
W2151203442,FALSE
W2759655662,TRUE
W2800176567,FALSE
W2883124634,FALSE
W2883809563,FALSE
W2895989300,FALSE
W2943753637,FALSE
W3013534107,FALSE
W3048401558,FALSE
W3117231065,FALSE
W3134406815,FALSE
W4206200345,TRUE
W4239562075,FALSE
W4280546958,TRUE
W4282975300,FALSE
W4287510456,FALSE
W4321611701,FALSE
W4321638787,FALSE
