university_code,university_name,country,province_state,city,building_number,street,postal_code,website,type,language,established
MELB,University of Melbourne,Australia,VIC,Melbourne,200,Berkeley St,3010,unimelb.edu.au,Public,English,1853
ANU,Australian National University,Australia,ACT,Canberra,1,Acton,2601,anu.edu.au,Public,English,1946
SYD,University of Sydney,Australia,NSW,Sydney,1,Eastern Ave,2006,sydney.edu.au,Public,English,1850
UNSW,University of New South Wales,Australia,NSW,Sydney,1,High St,2052,unsw.edu.au,Public,English,1949
UQ,University of Queensland,Australia,QLD,Brisbane,1,St Lucia,4072,uq.edu.au,Public,English,1909
MONASH,Monash University,Australia,VIC,Melbourne,1,Wellington Rd,3800,monash.edu,Public,English,1958
UWA,University of Western Australia,Australia,WA,Perth,35,Stirling Hwy,6009,uwa.edu.au,Public,English,1911
ADEL,University of Adelaide,Australia,SA,Adelaide,1,North Terrace,5005,adelaide.edu.au,Public,English,1874
UTS,University of Technology Sydney,Australia,NSW,Sydney,15,Broadway,2007,uts.edu.au,Public,English,1988
MQ,Macquarie University,Australia,NSW,Sydney,1,Balaclava Rd,2109,mq.edu.au,Public,English,1964
QUT,Queensland University of Technology,Australia,QLD,Brisbane,2,George St,4001,qut.edu.au,Public,English,1989
GRIFFITH,Griffith University,Australia,QLD,Brisbane,170,Kessels Rd,4111,griffith.edu.au,Public,English,1971
DEAKIN,Deakin University,Australia,VIC,Melbourne,1,Gheringhap St,3220,deakin.edu.au,Public,English,1974
RMIT,RMIT University,Australia,VIC,Melbourne,124,La Trobe St,3000,rmit.edu.au,Public,English,1887
CURTIN,Curtin University,Australia,WA,Perth,1,Kent St,6102,curtin.edu.au,Public,English,1966
UNE,University of New England,Australia,NSW,Armidale,1,Elm Ave,2351,une.edu.au,Public,English,1938
UOW,University of Wollongong,Australia,NSW,Wollongong,1,Northfields Ave,2522,uow.edu.au,Public,English,1975
NEWCASTLE,University of Newcastle,Australia,NSW,Newcastle,1,University Dr,2308,newcastle.edu.au,Public,English,1965
WSU,Western Sydney University,Australia,NSW,Sydney,1,Locked Bag,2751,westernsydney.edu.au,Public,English,1989
LATROBE,La Trobe University,Australia,VIC,Melbourne,1,Kingsbury Dr,3086,latrobe.edu.au,Public,English,1964
SWINBURNE,Swinburne University of Technology,Australia,VIC,Melbourne,1,John St,3122,swinburne.edu.au,Public,English,1908
VU,Victoria University,Australia,VIC,Melbourne,1,Footscray Park,3011,vu.edu.au,Public,English,1916
FLINDERS,Flinders University,Australia,SA,Adelaide,1,Sturt Rd,5042,flinders.edu.au,Public,English,1966
