```csv
university_code,university_name,country,province_state,city,building_number,street,postal_code,website,type,language,established
ETH_ZURICH,ETH Zurich,Switzerland,Zurich,Zurich,1,Rämistrasse,8092,ethz.ch,Public,German;English,1855
EPFL,École polytechnique fédérale de Lausanne,Switzerland,Vaud,Lausanne,1,Route Cantonale,1015,epfl.ch,Public,French;English,1969
UNIV_ZURICH,University of Zurich,Switzerland,Zurich,Zurich,1,Rämistrasse,8006,uzh.ch,Public,German;English,1833
UNIV_BASEL,University of Basel,Switzerland,Basel-Stadt,Basel,1,Petersplatz,4003,unibas.ch,Public,German;English,1460
UNIV_BERN,University of Bern,Switzerland,Bern,Bern,1,Hochschulstrasse,3012,unibe.ch,Public,German;French;English,1834
UNIV_GENEVA,University of Geneva,Switzerland,Geneva,Geneva,1,Rue Général-Dufour,1211,unige.ch,Public,French;English,1559
UNIV_LAUSANNE,University of Lausanne,Switzerland,Vaud,Lausanne,1,Unicentre,1015,unil.ch,Public,French;English,1537
UNIV_FRIBOURG,University of Fribourg,Switzerland,Fribourg,Fribourg,1,Avenue de l'Europe,1700,unifr.ch,Public,French;German;English,1889
UNIV_NEUCHÂTEL,University of Neuchâtel,Switzerland,Neuchâtel,Neuchâtel,1,Avenue du 1er-Mars,2000,unine.ch,Public,French;English,1838
UNIV_ST_GALLEN,University of St. Gallen,Switzerland,St. Gallen,St. Gallen,1,Dufourstrasse,9000,unisg.ch,Public,German;English,1898
USI,Università della Svizzera italiana,Switzerland,Ticino,Lugano,1,Via Giuseppe Buffi,6900,usi.ch,Public,Italian;English,1996
TUM,Technical University of Munich,Germany,Bayern,Munich,1,Arcisstrasse,80333,tum.de,Public,German;English,1868
LMU_MUNICH,Ludwig Maximilian University Munich,Germany,Bayern,Munich,1,Geschwister-Scholl-Platz,80539,lmu.de,Public,German;English,1472
HEIDELBERG,Heidelberg University,Germany,Baden-Württemberg,Heidelberg,1,Grabengasse,69117,uni-heidelberg.de,Public,German;English,1386
HUMBOLDT_BERLIN,Humboldt University of Berlin,Germany,Berlin,Berlin,1,Unter den Linden,10117,hu-berlin.de,Public,German;English,1810
FREIE_BERLIN,Free University of Berlin,Germany,Berlin,Berlin,1,Kaiserswerther Str,14195,fu-berlin.de,Public,German;English,1948
TU_BERLIN,Technical University of Berlin,Germany,Berlin,Berlin,1,Straße des 17 Juni,10623,tu-berlin.de,Public,German;English,1770
RWTH_AACHEN,RWTH Aachen University,Germany,Nordrhein-Westfalen,Aachen,1,Templergraben,52062,rwth-aachen.de,Public,German;English,1870
UNIV_BONN,University of Bonn,Germany,Nordrhein-Westfalen,Bonn,1,Regina-Pacis-Weg,53113,uni-bonn.de,Public,German;English,1818
UNIV_COLOGNE,University of Cologne,Germany,Nordrhein-Westfalen,Cologne,1,Albertus-Magnus-Platz,50923,uni-koeln.de,Public,German;English,1388
UNIV_FRANKFURT,Goethe University Frankfurt,Germany,Hessen,Frankfurt,1,Theodor-W.-Adorno-Platz,60629,uni-frankfurt.de,Public,German;English,1914
UNIV_HAMBURG,University of Hamburg,Germany,Hamburg,Hamburg,1,Edmund-Siemers-Allee,20146,uni-hamburg.de,Public,German;English,1919
UNIV_GÖTTINGEN,University of Göttingen,Germany,Niedersachsen,Göttingen,1,Wilhelmsplatz,37073,uni-goettingen.de,Public,German;English,1737
KARLSRUHE_INST,Karlsruhe Institute of Technology,Germany,Baden-Württemberg,Karlsruhe,1,Kaiserstraße,76131,kit.edu,Public,German;English,1825
UNIV_TÜBINGEN,University of Tübingen,Germany,Baden-Württemberg,Tübingen,1,Wilhelmstraße,72074,uni-tuebingen.de,Public,German;English,1477
UNIV_FREIBURG,University of Freiburg,Germany,Baden-Württemberg,Freiburg,1,Fahnenbergplatz,79085,uni-freiburg.de,Public,German;English,1457
UNIV_DRESDEN,TU Dresden,Germany,Sachsen,Dresden,1,Helmholtzstraße,01069,tu-dresden.de,Public,German;English,1828
UNIV_LEIPZIG,University of Leipzig,Germany,Sachsen,Leipzig,1,Ritterstraße,04109,uni-leipzig.de,Public,German;English,1409
UNIV_WÜRZBURG,University of Würzburg,Germany,Bayern,Würzburg,1,Sanderring,97070,uni-wuerzburg.de,Public,German;English,1402
UNIV_ERLANGEN,University of Erlangen-Nuremberg,Germany,Bayern,Erlangen,1,Schlossplatz,91054,fau.de,Public,German;English,1743
UNIV_STUTTGART,University of Stuttgart,Germany,Baden-Württemberg,Stuttgart,1,Keplerstraße,70174,uni-stuttgart.de,Public,German;English,1829
UNIV_MÜNSTER,University of Münster,Germany,Nordrhein-Westfalen,Münster,1,Schlossplatz,48149,uni-muenster.de,Public,German;English,1780
UNIV_MANNHEIM,University of Mannheim,Germany,Baden-Württemberg,Mannheim,1,Schloss,68131,uni-mannheim.de,Public,German;English,1907
UNIV_MAINZ,Johannes Gutenberg University Mainz,Germany,Rheinland-Pfalz,Mainz,1,Saarstraße,55099,uni-mainz.de,Public,German;English,1477
UNIV_KIEL,University of Kiel,Germany,Schleswig-Holstein,Kiel,1,Christian-Albrechts-Platz,24118,uni-kiel.de,Public,German;English,1665
UNIV_BAYREUTH,University of Bayreuth,Germany,Bayern,Bayreuth,1,Universitätsstraße,95440,uni-bayreuth.de,Public,German;English,1975
UNIV_BREMEN,University of Bremen,Germany,Bremen,Bremen,1,Bibliothekstraße,28359,uni-bremen.de,Public,German;English,1971
UNIV_KONSTANZ,University of Konstanz,Germany,Baden-Württemberg,Konstanz,1,Universitätsstraße,78464,uni-konstanz.de,Public,German;English,1966
UNIV_ULM,University of Ulm,Germany,Baden-Württemberg,Ulm,1,Albert-Einstein-Allee,89081,uni-ulm.de,Public,German;English,1967
SORBONNE,Sorbonne University,France,Île-de-France,Paris,1,Rue Victor Cousin,75005,sorbonne-universite.fr,Public,French;English,1257
ENS_PARIS,École Normale Supérieure,France,Île-de-France,Paris,1,Rue d'Ulm,75005,ens.psl.eu,Public,French;English,1794
ECOLE_POLYTECHNIQUE,École Polytechnique,France,Île-de-France,Palaiseau,1,Route de Saclay,91128,polytechnique.edu,Public,French;English,1794
