university_code,university_name,country,province_state,city,building_number,street,postal_code,website,type,language,established
HARV,Harvard University,USA,MA,Cambridge,1350,Massachusetts Ave,02138,harvard.edu,Private,English,1636
STAN,Stanford University,USA,CA,Stanford,450,Serra Mall,94305,stanford.edu,Private,English,1885
MIT,Massachusetts Institute of Technology,USA,MA,Cambridge,77,Massachusetts Ave,02139,mit.edu,Private,English,1861
YALE,Yale University,USA,CT,New Haven,149,Elm St,06511,yale.edu,Private,English,1701
PRIN,Princeton University,USA,NJ,Princeton,1,Nassau Hall,08544,princeton.edu,Private,English,1746
COLU,Columbia University,USA,NY,New York,116,Broadway,10027,columbia.edu,Private,English,1754
UCHI,University of Chicago,USA,IL,Chicago,5801,Ellis Ave,60637,uchicago.edu,Private,English,1890
PENN,University of Pennsylvania,USA,PA,Philadelphia,3451,Walnut St,19104,upenn.edu,Private,English,1740
CALT,California Institute of Technology,USA,CA,Pasadena,1200,California Blvd,91125,caltech.edu,Private,English,1891
JHOP,Johns Hopkins University,USA,MD,Baltimore,3400,Charles St,21218,jhu.edu,Private,English,1876
NORT,Northwestern University,USA,IL,Evanston,633,Clark St,60208,northwestern.edu,Private,English,1851
DUKE,Duke University,USA,NC,Durham,2080,Duke University Rd,27708,duke.edu,Private,English,1838
CORN,Cornell University,USA,NY,Ithaca,616,Thurston Ave,14853,cornell.edu,Private,English,1865
RICE,Rice University,USA,TX,Houston,6100,Main St,77005,rice.edu,Private,English,1912
VAND,Vanderbilt University,USA,TN,Nashville,2201,West End Ave,37235,vanderbilt.edu,Private,English,1873
WASH,Washington University in St. Louis,USA,MO,St. Louis,1,Brookings Dr,63130,wustl.edu,Private,English,1853
EMOR,Emory University,USA,GA,Atlanta,201,Dowman Dr,30322,emory.edu,Private,English,1836
GETO,Georgetown University,USA,DC,Washington,3700,O St NW,20057,georgetown.edu,Private,English,1789
CARN,Carnegie Mellon University,USA,PA,Pittsburgh,5000,Forbes Ave,15213,cmu.edu,Private,English,1900
NOTA,University of Notre Dame,USA,IN,Notre Dame,400,Main Building,46556,nd.edu,Private,English,1842
UCBE,University of California Berkeley,USA,CA,Berkeley,200,California Hall,94720,berkeley.edu,Public,English,1868
UCLA,University of California Los Angeles,USA,CA,Los Angeles,405,Hilgard Ave,90095,ucla.edu,Public,English,1919
UMICH,University of Michigan,USA,MI,Ann Arbor,500,State St,48109,umich.edu,Public,English,1817
