faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Luis Braga,,journal_articles,Complete renal duplication with lower pole obstructive ectopic ureter - An exception of the Weigert-Meyer rule,Urology Case Reports,2025,10.1016/j.eucr.2025.103111,https://experts.mcmaster.ca/display/publication3600951,2025-07-27T15:01:55.704173
Luis Braga,,journal_articles,Teapot ureterocystoplasty in posterior urethral valve and chronic kidney disease: a case report.,Canadian Journal of Urology,2025,10.32604/cju.2025.064122,https://experts.mcmaster.ca/display/publication3600773,2025-07-27T15:01:55.704190
Luis Braga,,journal_articles,Editorial.,Journal of Pediatric Urology,2025,10.1016/j.jpurol.2025.04.022,https://experts.mcmaster.ca/display/publication3603932,2025-07-27T15:01:55.704194
Luis Braga,,journal_articles,"Exploring AI: Transforming medical practice, education and research.",Journal of Pediatric Urology,2025,10.1016/j.jpurol.2024.12.013,https://experts.mcmaster.ca/display/publication3529364,2025-07-27T15:01:55.704198
Luis Braga,,journal_articles,Interrater Reliability of Objective and Subjective Measures of Urinary Tract Dilation by Pediatric Urologists: A Multicenter Analysis,Journal of Pediatric Urology,2025,10.1016/j.jpurol.2025.06.025,https://experts.mcmaster.ca/display/publication3609806,2025-07-27T15:01:55.704201
Luis Braga,,journal_articles,Protocol for the development of a patient-reported outcome measure for patients with hypospadias.,BMJ Open,2025,10.1136/bmjopen-2024-088619,https://experts.mcmaster.ca/display/publication3587226,2025-07-27T15:01:55.704204
Luis Braga,,journal_articles,INTERRATER RELIABILITY OF OBJECTIVE AND SUBJECTIVE MEASURES OF URINARY TRACT DILATION IN PEDIATRIC UROLOGISTS: A MULTICENTER ANALYSIS,Investigative Urology,2025,10.1097/01.JU.0001110096.43556.42.07,https://experts.mcmaster.ca/display/publication3578815,2025-07-27T15:01:55.704208
Luis Braga,,journal_articles,ULTRASOUND IN THE FIRST TWO DAYS OF LIFE UNDERESTIMATES SEVERITY OF HYDRONEPHROSIS: AN ANALYSIS FROM THE SPU HYDRONEPHROSIS TASK FORCE,Investigative Urology,2025,10.1097/01.JU.0001109864.72014.8e.22,https://experts.mcmaster.ca/display/publication3578816,2025-07-27T15:01:55.704210
Luis Braga,,journal_articles,Developing a standardized approach to defining urinary tract infection is critical to clinical research.,Journal of Pediatric Urology,2025,10.1016/j.jpurol.2025.01.039,https://experts.mcmaster.ca/display/publication3576572,2025-07-27T15:01:55.704213
Luis Braga,,journal_articles,"Response to commentary on editorial ""Developing a standardized approach to defining urinary tract infection is critical to clinical research"".",Journal of Pediatric Urology,2025,10.1016/j.jpurol.2025.03.025,https://experts.mcmaster.ca/display/publication3570935,2025-07-27T15:01:55.704216
Luis Braga,,journal_articles,Editorial Comment.,Investigative Urology,2025,10.1097/JU.0000000000004376,https://experts.mcmaster.ca/display/publication3508764,2025-07-27T15:01:55.704219
Luis Braga,,journal_articles,Editorial.,Journal of Pediatric Urology,2025,10.1016/j.jpurol.2025.02.012,https://experts.mcmaster.ca/display/publication3572289,2025-07-27T15:01:55.704222
Luis Braga,,journal_articles,"Randomized controlled trials - The what, when, how and why.",Journal of Pediatric Urology,2025,10.1016/j.jpurol.2024.11.021,https://experts.mcmaster.ca/display/publication3502914,2025-07-27T15:01:55.704225
Luis Braga,,journal_articles,Response to the editorial commentary on 'When you cannot trust what you see: The confounding effect'.,Journal of Pediatric Urology,2025,10.1016/j.jpurol.2025.01.005,https://experts.mcmaster.ca/display/publication3529365,2025-07-27T15:01:55.704227
Luis Braga,,journal_articles,When you cannot trust what you see: The confounding effect.,Journal of Pediatric Urology,2025,10.1016/j.jpurol.2024.11.018,https://experts.mcmaster.ca/display/publication3494391,2025-07-27T15:01:55.704230
