faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Yuan Zhang,,journal_articles,Patients' values and preferences for health states in allergic rhinitis—An artificial intelligence supported systematic review,Acta Allergologica,2024,10.1111/all.16100,https://experts.mcmaster.ca/display/publication3410476,2025-07-27T15:15:28.751191
Yuan Zhang,,journal_articles,"Comparison of the effectiveness, safety, and costs of anti‐Parkinson drugs: A multiple‐center retrospective study",CNS Neuroscience and Therapeutics,2024,10.1111/cns.14531,https://experts.mcmaster.ca/display/publication3316427,2025-07-27T15:15:28.751194
Yuan Zhang,,journal_articles,Effect and safety profile of topical lidocaine on post-surgical neuropathic pain and quality of life: A systematic review and meta-analysis,Journal of Clinical Anesthesia,2024,10.1016/j.jclinane.2023.111219,https://experts.mcmaster.ca/display/publication3299274,2025-07-27T15:15:28.751195
Yuan Zhang,,journal_articles,2023 International Consensus Guidance for the use of Tripterygium Wilfordii Hook F in the treatment of active rheumatoid arthritis,Journal of Autoimmunity,2024,10.1016/j.jaut.2023.103148,https://experts.mcmaster.ca/display/publication3316057,2025-07-27T15:15:28.751196
Yuan Zhang,,journal_articles,Endovascular Thrombectomy With or Without Thrombolysis for Stroke: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,The Neurohospitalist,2024,10.1177/19418744231200046,https://experts.mcmaster.ca/display/publication3290250,2025-07-27T15:15:28.751198
Yuan Zhang,,journal_articles,Endovascular Thrombectomy with or without Bridging Thrombolysis in Acute Ischemic Stroke: A Cost-Effectiveness Analysis,Neuroepidemiology,2024,10.1159/000535796,https://experts.mcmaster.ca/display/publication3401100,2025-07-27T15:15:28.751199
Yuan Zhang,,journal_articles,American Society of Hematology 2023 guidelines for management of venous thromboembolism: thrombophilia testing,Blood Advances,2023,10.1182/bloodadvances.2023010177,https://experts.mcmaster.ca/display/publication3234482,2025-07-27T15:15:28.751200
Yuan Zhang,,journal_articles,GRADE guidance 23: considering cost-effectiveness evidence in moving from evidence to health-related recommendations,Journal of Clinical Epidemiology,2023,10.1016/j.jclinepi.2023.08.001,https://experts.mcmaster.ca/display/publication3283389,2025-07-27T15:15:28.751201
Yuan Zhang,,journal_articles,"Endovascular thrombectomy with or without thrombolysis bridging in patients with acute ischaemic stroke: protocol for a systematic review, meta-analysis of randomised trials and cost-effectiveness analysis",BMJ Open,2023,10.1136/bmjopen-2022-064322,https://experts.mcmaster.ca/display/publication3251327,2025-07-27T15:15:28.751202
Yuan Zhang,,journal_articles,Abstract Number ‐ 176: Mechanical thrombectomy with or without bridging in stroke: A systematic review and meta‐analysis of RCTs,Stroke: Vascular and Interventional Neurology,2023,10.1161/svin.03.suppl_1.176,https://experts.mcmaster.ca/display/publication3316563,2025-07-27T15:15:28.751204
Yuan Zhang,,journal_articles,Abstract Number ‐ 24: Endovascular thrombectomy with or without bridging thrombolysis in patients with ischemic stroke: A cost‐utility analysis,Stroke: Vascular and Interventional Neurology,2023,10.1161/svin.03.suppl_1.024,https://experts.mcmaster.ca/display/publication3316564,2025-07-27T15:15:28.751258
Yuan Zhang,,journal_articles,Multidisciplinary Guidelines for the Rational Use of Topical Non-Steroidal Anti-Inflammatory Drugs for Musculoskeletal Pain (2022),Journal of Clinical Medicine,2023,10.3390/jcm12041544,https://experts.mcmaster.ca/display/publication2893335,2025-07-27T15:15:28.751259
Yuan Zhang,,journal_articles,Abstract WP71: Endovascular Thrombectomy With Or Without Bridging Thrombolysis In Patients With Acute Ischemic Stroke: A Cost-utility Analysis,Stroke,2023,10.1161/str.54.suppl_1.wp71,https://experts.mcmaster.ca/display/publication3316565,2025-07-27T15:15:28.751260
Yuan Zhang,,journal_articles,A Network Meta-analysis of Dexamethasone for Preventing Postextubation Upper Airway Obstruction in Children,Annals of the American Thoracic Society,2023,10.1513/annalsats.202203-212oc,https://experts.mcmaster.ca/display/publication2432780,2025-07-27T15:15:28.751261
Yuan Zhang,,journal_articles,Varenicline for Tobacco-Dependent Adults Who Are Not Ready to Discontinue Use: A Systematic Review and Meta-Analysis,Annals of the American Thoracic Society,2022,10.1513/annalsats.202110-1122oc,https://experts.mcmaster.ca/display/publication2432779,2025-07-27T15:15:28.751262
Yuan Zhang,,journal_articles,Methods to Summarize Discrete-Choice Experiments in a Systematic Review: A Scoping Review,Patient,2022,10.1007/s40271-022-00587-7,https://experts.mcmaster.ca/display/publication2378084,2025-07-27T15:15:28.751263
Yuan Zhang,,journal_articles,Evidence to decision frameworks enabled structured and explicit development of healthcare recommendations,Journal of Clinical Epidemiology,2022,10.1016/j.jclinepi.2022.06.004,https://experts.mcmaster.ca/display/publication2399792,2025-07-27T15:15:28.751264
Yuan Zhang,,journal_articles,Extended Duration Treatment of Tobacco Dependence: A Systematic Review and Meta-Analysis,Annals of the American Thoracic Society,2022,10.1513/annalsats.202110-1140oc,https://experts.mcmaster.ca/display/publication2179534,2025-07-27T15:15:28.751265
Yuan Zhang,,journal_articles,GRADE summary of findings tables enhanced understanding of values and preferences evidence,Journal of Clinical Epidemiology,2022,10.1016/j.jclinepi.2022.03.007,https://experts.mcmaster.ca/display/publication2179533,2025-07-27T15:15:28.751266
Yuan Zhang,,journal_articles,The ecosystem of health decision making: from fragmentation to synergy,The Lancet Public Health,2022,10.1016/s2468-2667(22)00057-3,https://experts.mcmaster.ca/display/publication2182525,2025-07-27T15:15:28.751267
Yuan Zhang,,journal_articles,New methods facilitated the process of prioritizing questions and health outcomes in guideline development,Journal of Clinical Epidemiology,2022,10.1016/j.jclinepi.2021.11.031,https://experts.mcmaster.ca/display/publication2157242,2025-07-27T15:15:28.751268
Yuan Zhang,,journal_articles,Using economic evaluations to support acupuncture reimbursement decisions: current evidence and gaps,The BMJ,2022,10.1136/bmj-2021-067477,https://experts.mcmaster.ca/display/publication2172816,2025-07-27T15:15:28.751269
Yuan Zhang,,journal_articles,Cost-effectiveness of diagnostic strategies for venous thromboembolism: a systematic review,Blood Advances,2022,10.1182/bloodadvances.2020003576,https://experts.mcmaster.ca/display/publication2136278,2025-07-27T15:15:28.751270
Yuan Zhang,,journal_articles,Methodology for adaptation of the ASH Guidelines for Management of Venous Thromboembolism for the Latin American context,Blood Advances,2021,10.1182/bloodadvances.2021004268,https://experts.mcmaster.ca/display/publication2122347,2025-07-27T15:15:28.751271
Yuan Zhang,,journal_articles,Patient values and preferences on valve replacement for aortic stenosis: a systematic review,Heart,2021,10.1136/heartjnl-2020-318334,https://experts.mcmaster.ca/display/publication1959502,2025-07-27T15:15:28.751273
Yuan Zhang,,journal_articles,Systematic review and meta-analysis of outcomes in patients with suspected pulmonary embolism,Blood Advances,2021,10.1182/bloodadvances.2020002398,https://experts.mcmaster.ca/display/publication1967672,2025-07-27T15:15:28.751274
Yuan Zhang,,journal_articles,The outcomes of pregnancies after laparoscopic surgeries for pathologic changes on distal oviduct: A systematic review and meta-analysis,Gynecology and Obstetrics Clinical Medicine,2021,10.1016/j.gocm.2020.11.003,https://experts.mcmaster.ca/display/publication2777987,2025-07-27T15:15:28.751275
Yuan Zhang,,journal_articles,GRADE Guidelines 30: the GRADE approach to assessing the certainty of modeled evidence—An overview in the context of health decision-making,Journal of Clinical Epidemiology,2021,10.1016/j.jclinepi.2020.09.018,https://experts.mcmaster.ca/display/publication1927441,2025-07-27T15:15:28.751276
Yuan Zhang,,journal_articles,Impact of a Collaborative Pharmaceutical Care Service for Patients With Parkinson’s Disease,Frontiers in Pharmacology,2021,10.3389/fphar.2021.793361,https://experts.mcmaster.ca/display/publication3316567,2025-07-27T15:15:28.751277
Yuan Zhang,,journal_articles,Assessing the process and outcome of the development of practice guidelines and recommendations: PANELVIEW instrument development,CANADIAN MEDICAL ASSOCIATION JOURNAL,2020,10.1503/cmaj.200193,https://experts.mcmaster.ca/display/publication1928401,2025-07-27T15:15:28.751278
Yuan Zhang,,journal_articles,American Society of Hematology 2020 Guidelines for Management of Venous Thromboembolism: Treatment of Deep Vein Thrombosis and Pulmonary Embolism,Blood Advances,2020,10.1182/bloodadvances.2020001830,https://experts.mcmaster.ca/display/publication1928128,2025-07-27T15:15:28.751279
Yuan Zhang,,journal_articles,"Ventilation Techniques and Risk for Transmission of Coronavirus Disease, Including COVID-19",ACP journal club,2020,10.7326/m20-2306,https://experts.mcmaster.ca/display/publication1904194,2025-07-27T15:15:28.751280
Yuan Zhang,,journal_articles,Initiating Pharmacologic Treatment in Tobacco-Dependent Adults. An Official American Thoracic Society Clinical Practice Guideline,American Journal of Respiratory and Critical Care Medicine,2020,10.1164/rccm.202005-1982st,https://experts.mcmaster.ca/display/publication1920261,2025-07-27T15:15:28.751281
Yuan Zhang,,journal_articles,Content and impact of pharmacy services for patients with Parkinson's disease,Medicine (United States),2020,10.1097/md.0000000000020758,https://experts.mcmaster.ca/display/publication1917478,2025-07-27T15:15:28.751282
Yuan Zhang,,journal_articles,Systematic review and meta-analysis of outcomes in patients with suspected deep vein thrombosis,Blood Advances,2020,10.1182/bloodadvances.2020001558,https://experts.mcmaster.ca/display/publication1915911,2025-07-27T15:15:28.751283
Yuan Zhang,,journal_articles,"Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19: a systematic review and meta-analysis",The Lancet,2020,10.1016/s0140-6736(20)31142-9,https://experts.mcmaster.ca/display/publication1914099,2025-07-27T15:15:28.751284
Yuan Zhang,,journal_articles,Desensitizing Toothpastes for Dentin Hypersensitivity: A Network Meta-analysis,Journal of Dental Research,2020,10.1177/0022034520903036,https://experts.mcmaster.ca/display/publication1693072,2025-07-27T15:15:28.751285
Yuan Zhang,,journal_articles,Safe management of bodies of deceased persons with suspected or confirmed COVID-19: a rapid systematic review,BMJ Global Health,2020,10.1136/bmjgh-2020-002650,https://experts.mcmaster.ca/display/publication1896225,2025-07-27T15:15:28.751286
Yuan Zhang,,journal_articles,Topical benzoyl peroxide for acne,Cochrane Database of Systematic Reviews,2020,10.1002/14651858.cd011154.pub2,https://experts.mcmaster.ca/display/publication1698333,2025-07-27T15:15:28.751287
Yuan Zhang,,journal_articles,Patient values and preferences regarding VTE disease: a systematic review to inform American Society of Hematology guidelines,Blood Advances,2020,10.1182/bloodadvances.2019000462,https://experts.mcmaster.ca/display/publication1697057,2025-07-27T15:15:28.751288
Yuan Zhang,,journal_articles,Effects of Incretin-based Therapies on Weight-related Indicators among Patients with Type 2 Diabetes: A Network Meta-analysis.,Biomedical and Environmental Sciences,2020,10.3967/bes2020.005,https://experts.mcmaster.ca/display/publication1689674,2025-07-27T15:15:28.751289
Yuan Zhang,,journal_articles,"Efficacy, Safety, and Economics of Intravenous Levetiracetam for Status Epilepticus: A Systematic Review and Meta-Analysis",Frontiers in Pharmacology,2020,10.3389/fphar.2020.00751,https://experts.mcmaster.ca/display/publication1914856,2025-07-27T15:15:28.751291
Yuan Zhang,,journal_articles,Colorectal cancer guidelines seldom include the patient perspective,Journal of Clinical Epidemiology,2019,10.1016/j.jclinepi.2019.08.008,https://experts.mcmaster.ca/display/publication1663273,2025-07-27T15:15:28.751292
Yuan Zhang,,journal_articles,Most guideline organizations lack explicit guidance in how to incorporate cost considerations,Journal of Clinical Epidemiology,2019,10.1016/j.jclinepi.2019.08.004,https://experts.mcmaster.ca/display/publication1669895,2025-07-27T15:15:28.751293
