faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Michelle Zeller,,journal_articles,Platelet Transfusion: 2025 AABB and ICTMG International Clinical Practice Guidelines.,Journal of the American Medical Association (JAMA),2025,10.1001/jama.2025.7529,https://experts.mcmaster.ca/display/publication3590786,2025-07-27T15:15:23.644384
Michelle Zeller,,journal_articles,Prothrombin Complex Concentrate vs Frozen Plasma for Coagulopathic Bleeding in Cardiac Surgery: The FARES-II Multicenter Randomized Clinical Trial.,Journal of the American Medical Association (JAMA),2025,10.1001/jama.2025.3501,https://experts.mcmaster.ca/display/publication3562371,2025-07-27T15:15:23.644387
Michelle Zeller,,journal_articles,Perioperative Anemia Management in Patients Undergoing Gynaecologic Procedures: A 12-Year Multisite Study.,Journal of Obstetrics and Gynaecology Canada,2025,10.1016/j.jogc.2025.102923,https://experts.mcmaster.ca/display/publication3584047,2025-07-27T15:15:23.644388
Michelle Zeller,,journal_articles,"Management of iron deficiency in children, adults, and pregnant individuals: evidence-based and expert consensus recommendations.",The Lancet Haematology,2025,10.1016/S2352-3026(25)00038-9,https://experts.mcmaster.ca/display/publication3578459,2025-07-27T15:15:23.644390
Michelle Zeller,,journal_articles,The 2024 international survey of platelet products and practice.,Transfusion and Apheresis Science,2025,10.1016/j.transci.2025.104086,https://experts.mcmaster.ca/display/publication3552747,2025-07-27T15:15:23.644391
Michelle Zeller,,journal_articles,"Anemia Near Delivery Is Prevalent, Pernicious, and Associated With Lower Neighbourhood Income: An Analysis of Over 50 000 Pregnancies.",Journal of Obstetrics and Gynaecology Canada,2025,10.1016/j.jogc.2024.102721,https://experts.mcmaster.ca/display/publication3492569,2025-07-27T15:15:23.644392
Michelle Zeller,,journal_articles,Privacy-preserving federated data access and federated learning: Improved data sharing and AI model development in transfusion medicine.,Transfusion,2025,10.1111/trf.18077,https://experts.mcmaster.ca/display/publication3492249,2025-07-27T15:15:23.644393
Michelle Zeller,,journal_articles,Donor clinical characteristics and impacts on transfusion recipient outcomes.,Transfusion and Apheresis Science,2024,10.1016/j.transci.2024.104012,https://experts.mcmaster.ca/display/publication3484165,2025-07-27T15:15:23.644394
Michelle Zeller,,journal_articles,Current state of undergraduate medical school training in transfusion medicine and its impact on postgraduate trainee knowledge,Transfusion,2024,10.1111/trf.17918,https://experts.mcmaster.ca/display/publication3441643,2025-07-27T15:15:23.644395
Michelle Zeller,,journal_articles,Skeletal manifestations of anemia in the sternum in a modern clinical sample: An initial investigation,Journal of Archaeological Science,2024,10.1016/j.jas.2024.105942,https://experts.mcmaster.ca/display/publication3407204,2025-07-27T15:15:23.644396
Michelle Zeller,,journal_articles,Learning From Clinical Supervisor Practice Variability: Exploring Medical Resident and Fellow Experiences and Interpretations,Academic Medicine,2024,10.1097/acm.0000000000005573,https://experts.mcmaster.ca/display/publication3320123,2025-07-27T15:15:23.644397
