faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Olufemi Ayeni,,journal_articles,EDITORIAL: Celebrating the inaugural year of the global JISAKOS Excellence in Authorship Program.,Journal of ISAKOS,2025,10.1016/j.jisako.2025.100919,https://experts.mcmaster.ca/display/publication3612223,2025-07-27T15:00:46.072653
Olufemi Ayeni,,journal_articles,Borderline Hip Dysplasia and Secondary Femoroacetabular Impingement Surgery – Rehabilitation Principles and Rationale,JOSPT Open,2025,10.2519/josptopen.2025.0088,https://experts.mcmaster.ca/display/publication3576165,2025-07-27T15:00:46.072672
Olufemi Ayeni,,journal_articles,Performance and return to sport outcomes following hip arthroscopy in National Hockey League players.,"Knee Surgery, Sports Traumatology, Arthroscopy",2025,10.1002/ksa.12720,https://experts.mcmaster.ca/display/publication3598220,2025-07-27T15:00:46.072675
Olufemi Ayeni,,journal_articles,Surgical management of first-time patellar dislocations in paediatric patients may lower rates of redislocation compared to conservative management: A systematic review and meta-analysis.,"Knee Surgery, Sports Traumatology, Arthroscopy",2025,10.1002/ksa.12524,https://experts.mcmaster.ca/display/publication3484613,2025-07-27T15:00:46.072677
Olufemi Ayeni,,journal_articles,Outcomes after Surgical Management of Large Joint Manifestations in Ehlers Danlos Syndrome and Hypermobility Conditions in Sports Medicine: a Systematic Review.,Current Reviews in Musculoskeletal Medicine,2025,10.1007/s12178-025-09979-2,https://experts.mcmaster.ca/display/publication3587141,2025-07-27T15:00:46.072711
Olufemi Ayeni,,journal_articles,Sports Injuries in Female and Non-Binary Athletes: A Systematic Review.,Current Reviews in Musculoskeletal Medicine,2025,10.1007/s12178-025-09974-7,https://experts.mcmaster.ca/display/publication3581567,2025-07-27T15:00:46.072734
Olufemi Ayeni,,journal_articles,Arthroscopic and Open Postoperative Hip Capsular Deficiency Management Strategies - A Scoping Review.,Current Reviews in Musculoskeletal Medicine,2025,10.1007/s12178-025-09977-4,https://experts.mcmaster.ca/display/publication3581568,2025-07-27T15:00:46.072737
Olufemi Ayeni,,journal_articles,Lack of validated patient-reported outcome tools persists in paediatric and adolescent hip arthroscopy-A systematic review.,"Knee Surgery, Sports Traumatology, Arthroscopy",2025,10.1002/ksa.12603,https://experts.mcmaster.ca/display/publication3532913,2025-07-27T15:00:46.072739
Olufemi Ayeni,,journal_articles,The Effects of Structured Prehabilitation on Postoperative Outcomes Following Total Hip and Total Knee Arthroplasty: An Overview of Systematic Reviews and Meta-analyses of Randomized Controlled Trials.,Journal of Orthopaedic and Sports Physical Therapy,2025,10.2519/jospt.2025.13075,https://experts.mcmaster.ca/display/publication3581569,2025-07-27T15:00:46.072740
Olufemi Ayeni,,journal_articles,"Corrigendum to ""ChatGPT 3.5 and 4 provide mostly accurate information when answering patients' questions relating to femoroacetabular impingement syndrome and arthroscopic hip surgery"" [J ISAKOS (2024) 100376].",Journal of ISAKOS,2025,10.1016/j.jisako.2025.100844,https://experts.mcmaster.ca/display/publication3560369,2025-07-27T15:00:46.072742
Olufemi Ayeni,,journal_articles,Endoscopic Abductor Repairs of the Hip Simplified: Double-Pulley Suture-Passage Free Technique.,Arthroscopy Techniques,2025,10.1016/j.eats.2024.103306,https://experts.mcmaster.ca/display/publication3513748,2025-07-27T15:00:46.072743
Olufemi Ayeni,,journal_articles,Outcomes following surgical management of patellar instability in hypermobile patients are favourable compared to non-operative management in non-hypermobile patients: A systematic review and meta-analysis.,Journal of Experimental Orthopaedics,2025,10.1002/jeo2.70256,https://experts.mcmaster.ca/display/publication3590649,2025-07-27T15:00:46.072745
Olufemi Ayeni,,journal_articles,The limited impact of randomized controlled trials on the management of greater trochanteric pain syndrome as demonstrated by fragility Indices: A citation analysis.,Journal of ISAKOS,2025,10.1016/j.jisako.2025.100846,https://experts.mcmaster.ca/display/publication3554567,2025-07-27T15:00:46.072746
Olufemi Ayeni,,journal_articles,EP6.6 Caregiver Burden Following Hip Arthroscopic Surgery – A Cross Sectional Survey Study,Journal of Hip Preservation Surgery,2025,10.1093/jhps/hnaf011.295,https://experts.mcmaster.ca/display/publication3581572,2025-07-27T15:00:46.072748
Olufemi Ayeni,,journal_articles,"EP6.7 Diagnosis, Operative Management, and Clinical Outcomes of Adhesions Post Hip Arthroscopy – A Systematic Review",Journal of Hip Preservation Surgery,2025,10.1093/jhps/hnaf011.296,https://experts.mcmaster.ca/display/publication3581573,2025-07-27T15:00:46.072749
Olufemi Ayeni,,journal_articles,EP6.8 Do sagittal spinopelvic parameters impact outcomes following arthroscopic surgery for femoroacetabular impingement? - A systematic review,Journal of Hip Preservation Surgery,2025,10.1093/jhps/hnaf011.297,https://experts.mcmaster.ca/display/publication3581571,2025-07-27T15:00:46.072751
Olufemi Ayeni,,journal_articles,OP1.5 Evaluating ChatGPT’s Performance in Answering Patients’ Questions Relating to Femoroacetabular Impingement Syndrome and Arthroscopic Hip Surgery,Journal of Hip Preservation Surgery,2025,10.1093/jhps/hnaf011.084,https://experts.mcmaster.ca/display/publication3581570,2025-07-27T15:00:46.072753
Olufemi Ayeni,,journal_articles,Self‐defined former smokers consume the highest opioid quantities following knee and shoulder arthroscopy,"Knee Surgery, Sports Traumatology, Arthroscopy",2025,10.1002/ksa.12403,https://experts.mcmaster.ca/display/publication3456878,2025-07-27T15:00:46.072754
Olufemi Ayeni,,journal_articles,ChatGPT-3.5 and -4 provide mostly accurate information when answering patients' questions relating to femoroacetabular impingement syndrome and arthroscopic hip surgery.,Journal of ISAKOS,2025,10.1016/j.jisako.2024.100376,https://experts.mcmaster.ca/display/publication3504796,2025-07-27T15:00:46.072756
Olufemi Ayeni,,journal_articles,Intra-articular injection of a cross-linked hyaluronic acid combined with triamcinolone hexacetonide improves pain at six months in patients with mild to moderate hip osteoarthritis: A prospective observational study.,Journal of ISAKOS,2025,10.1016/j.jisako.2024.100363,https://experts.mcmaster.ca/display/publication3488410,2025-07-27T15:00:46.072757
Olufemi Ayeni,,journal_articles,Moderate burden amongst caregivers posthip arthroscopy linked to younger caregiver age and task load: A cross‐sectional survey study,"Knee Surgery, Sports Traumatology, Arthroscopy",2025,10.1002/ksa.12414,https://experts.mcmaster.ca/display/publication3459061,2025-07-27T15:00:46.072759
Olufemi Ayeni,,journal_articles,Management of Labral Tears in the Hip: A Consensus Statement.,Orthopaedic Journal of Sports Medicine,2025,10.1177/23259671241305409,https://experts.mcmaster.ca/display/publication3530609,2025-07-27T15:00:46.072760
Olufemi Ayeni,,journal_articles,Osteochondroplasty with or without labral repair is more cost-effective than arthroscopic lavage with or without labral repair for treatment of young adults with femoroacetabular impingement: A cost-utility analysis based on data from a randomized controlled trial.,Journal of ISAKOS,2024,10.1016/j.jisako.2024.100307,https://experts.mcmaster.ca/display/publication3464247,2025-07-27T15:00:46.072762
Olufemi Ayeni,,journal_articles,Health‐related quality of life does not deteriorate while waiting for anterior cruciate reconstruction,"Knee Surgery, Sports Traumatology, Arthroscopy",2024,10.1002/ksa.12276,https://experts.mcmaster.ca/display/publication3436670,2025-07-27T15:00:46.072763
Olufemi Ayeni,,journal_articles,Endoscopic Treatment of Proximal Vastus Lateralis Myo-Aponeurosis Rupture in a Professional Skier: A Case Report.,JBJS Case Connector,2024,10.2106/JBJS.CC.23.00245,https://experts.mcmaster.ca/display/publication3488411,2025-07-27T15:00:46.072765
Olufemi Ayeni,,journal_articles,Lateral extra-articular tenodesis may be more cost-effective than independent anterolateral ligament reconstruction: A systematic review and economic analysis,Journal of ISAKOS,2024,10.1016/j.jisako.2024.04.004,https://experts.mcmaster.ca/display/publication3412913,2025-07-27T15:00:46.072766
Olufemi Ayeni,,journal_articles,The Continuous Fragility Index of Statistically Significant Findings in Randomized Controlled Trials That Compare Interventions for Anterior Shoulder Instability,American Journal of Sports Medicine,2024,10.1177/03635465231202522,https://experts.mcmaster.ca/display/publication3392356,2025-07-27T15:00:46.072768
Olufemi Ayeni,,journal_articles,Are orthopaedic randomized controlled trials as statistically fragile as portrayed? A call for improved interpretation of the statistical fragility index,Journal of Experimental Orthopaedics,2024,10.1002/jeo2.12042,https://experts.mcmaster.ca/display/publication3437370,2025-07-27T15:00:46.072769
